lat_center,lon_center,x,y,img_id,vegetation_pct,water_pct
-3.88939,-38.52963,39,6,39_06,0.0398,0.0
-3.88939,-38.52645,40,6,40_06,0.1392,0.0
-3.88939,-38.52328,41,6,41_06,0.2779,0.0
-3.88939,-38.5201,42,6,42_06,0.2645,0.0
-3.88939,-38.51693,43,6,43_06,0.1282,0.0
-3.88939,-38.51375,44,6,44_06,0.0494,0.0
-3.88939,-38.51058,45,6,45_06,0.0799,0.0
-3.88939,-38.50741,46,6,46_06,0.1053,0.0
-3.88939,-38.50423,47,6,47_06,0.2747,0.0
-3.88939,-38.50106,48,6,48_06,0.2104,0.0
-3.88939,-38.49788,49,6,49_06,0.2343,0.0
-3.88939,-38.49471,50,6,50_06,0.2942,0.0
-3.88939,-38.49153,51,6,51_06,0.1908,0.0
-3.88939,-38.48836,52,6,52_06,0.0379,0.0
-3.88939,-38.48518,53,6,53_06,0.0507,0.0
-3.88939,-38.48201,54,6,54_06,0.2867,0.0
-3.88939,-38.47883,55,6,55_06,0.5554,0.0
-3.88939,-38.47566,56,6,56_06,0.5359,0.0
-3.88939,-38.47249,57,6,57_06,0.5004,0.0
-3.88939,-38.46931,58,6,58_06,0.3213,0.0
-3.88939,-38.46614,59,6,59_06,0.2695,0.0
-3.88939,-38.46296,60,6,60_06,0.2747,0.0
-3.88939,-38.45979,61,6,61_06,0.1178,0.0
-3.88939,-38.45661,62,6,62_06,0.0486,0.0
-3.88939,-38.45344,63,6,63_06,0.0973,0.0
-3.88622,-38.65344,0,7,00_07,0.0,0.9941
-3.88622,-38.65026,1,7,01_07,0.0787,0.6027
-3.88622,-38.64709,2,7,02_07,0.4726,0.0418
-3.88622,-38.64391,3,7,03_07,0.3483,0.0
-3.88622,-38.64074,4,7,04_07,0.2433,0.0
-3.88622,-38.63756,5,7,05_07,0.2354,0.0
-3.88622,-38.63439,6,7,06_07,0.0917,0.0
-3.88622,-38.63122,7,7,07_07,0.0192,0.0
-3.88622,-38.62804,8,7,08_07,0.047,0.0
-3.88622,-38.62487,9,7,09_07,0.0941,0.0
-3.88622,-38.62169,10,7,10_07,0.086,0.0
-3.88622,-38.61852,11,7,11_07,0.0365,0.0
-3.88622,-38.61534,12,7,12_07,0.2117,0.0
-3.88622,-38.61217,13,7,13_07,0.1413,0.0
-3.88622,-38.60899,14,7,14_07,0.0066,0.0
-3.88622,-38.60582,15,7,15_07,0.2012,0.0
-3.88622,-38.60264,16,7,16_07,0.6936,0.0
-3.88622,-38.59947,17,7,17_07,0.6942,0.0
-3.88622,-38.59629,18,7,18_07,0.3392,0.0
-3.88622,-38.59312,19,7,19_07,0.3101,0.0
-3.88622,-38.58995,20,7,20_07,0.2843,0.0
-3.88622,-38.58677,21,7,21_07,0.3456,0.0
-3.88622,-38.5836,22,7,22_07,0.3733,0.0
-3.88622,-38.58042,23,7,23_07,0.1151,0.0
-3.88622,-38.57725,24,7,24_07,0.1788,0.0
-3.88622,-38.57407,25,7,25_07,0.4455,0.0
-3.88622,-38.5709,26,7,26_07,0.7419,0.0
-3.88622,-38.56772,27,7,27_07,0.8116,0.0
-3.88622,-38.56455,28,7,28_07,0.7685,0.0
-3.88622,-38.56137,29,7,29_07,0.7521,0.0
